Name,Population (2022 est)
Tomskaya Oblast',1068480
Respublika Adygeya,468190
Karachayevo-Cherkesskaya Respublika,463913
Respublika Ingushetiya,523955
Kabardino-Balkarskaya Respublika,869735
North Ossetia,687674
Stavropol'skiy Kray,2777531
Chukotskiy Avtonomnyy Okrug,50294
Kaliningradskaya Oblast',1026472
Murmanskaya Oblast',724179
Novgorodskaya Oblast',585247
Pskovskaya Oblast',61245
Leningradskaya Oblast',1907590
Sankt-Peterburg,5376672
Bryanskaya Oblast',1167806
Smolenskaya Oblast',908659
Respublika Kareliya,602458
Arkhangel'skaya Oblast',1068672
Ivanovskaya Oblast',976144
Vologodskaya Oblast',1138694
Kostromskaya Oblast',620658
Nizhegorodskaya Oblast',3141015
Tverskaya Oblast',1228698
Yaroslavskaya Oblast',1226062
Kaluzhskaya Oblast',1019668
Kurskaya Oblast',1081905
Lipetskaya Oblast',1113584
Moskovskaya Oblast',7765918
Moskva,12632409
Orlovskaya Oblast',713043
Rostovskaya Oblast',4149835
Tul'skaya Oblast',1430942
Volgogradskaya Oblast',2446461
Belgorodskaya Oblast',1530222
Krasnodarskiy Kray,5681962
Respublika Mordoviya,769142
Penzenskaya Oblast',1272697
Ryazanskaya Oblast',1083834
Tambovskaya Oblast',979504
Vladimirskaya Oblast',1322166
Voronezhskaya Oblast',2285240
Respublika Bashkortostan,4001052
Chelyabinskaya Oblast',3416613
Kurganskaya Oblast',804769
Nenetskiy Avtonomnyy Okrug,44483
Yamalo-Nenetskiy Avtonomnyy Okrug,552788
Respublika Komi,803208
Kirovskaya Oblast',1234448
Respublika Mariy-El,670730
Sverdlovskaya Oblast',4261084
Udmurtskaya Respublika,1483539
Astrakhanskaya Oblast',989345
Chuvashskaya Respublika,1197866
Respublika Kalmykiya,267517
Samarskaya Oblast',3129410
Orenburgskaya Oblast',1921908
Saratovskaya Oblast',2357476
Respublika Tatarstan,3886640
Ul'yanovskaya Oblast',1202811
Khanty-Mansiyskiy Avtonomnyy Okrug,1702452
Omskaya Oblast',1879242
Tyumenskaya Oblast',1552418
Altayskiy Kray,2266739
Respublika Altay,221402
Kemerovskaya Oblast',2603638
Respublika Khakasiya,528316
Novosibirskaya Oblast',2779375
Chechenskaya Respublika,1516882
Respublika Dagestan,3154677
Irkutskaya Oblast',2356542
Krasnoyarskiy Kray,2846565
Respublika Tyva,332518
Respublika Buryatiya,981487
Amurskaya Oblast',771889
Zabaykal'skiy Kray,1042993
Primorskiy Kray,1860429
Respublika Sakha (Yakutiya),990538
Yevreyskaya Avtonomnaya Oblast',153712
Khabarovskiy Kray,1298233
Magadanskaya Oblast',137529
Sakhalinskaya Oblast',484207
Avtonomna Respublika Krym,1893577
Perm Krai,2555042
Kamtchatski Kray,312337
Misto Sevastopol',529883